id_client,niveau,points_cumules,points_disponibles,date_adhesion,derniere_activite,avantages
C001,Or,1850,350,2023-01-15,2024-09-10,10% réduction permanente + livraison gratuite
C002,Argent,720,220,2023-02-08,2024-07-05,5% réduction + 1 échantillon/mois
C003,Argent,680,180,2023-03-20,2024-12-02,5% réduction + 1 échantillon/mois
C004,Bronze,310,110,2023-04-05,2024-06-08,2% réduction
C005,Platine,3200,800,2023-05-12,2024-09-28,15% réduction + livraison gratuite + conseil mensuel
C006,Bronze,280,80,2023-06-18,2024-07-22,2% réduction
C007,Or,1620,420,2023-07-22,2024-07-19,10% réduction permanente + livraison gratuite
C008,Argent,590,190,2023-08-14,2024-05-07,5% réduction + 1 échantillon/mois
C009,Or,1240,240,2023-09-03,2024-10-15,10% réduction permanente + livraison gratuite
C010,Bronze,320,120,2023-10-17,2024-09-05,2% réduction
C011,Platine,2800,600,2023-11-09,2024-09-28,15% réduction + livraison gratuite + conseil mensuel
C012,Bronze,200,100,2023-12-21,2024-12-20,2% réduction
C013,Argent,640,140,2024-01-08,2024-11-18,5% réduction + 1 échantillon/mois
C014,Argent,760,260,2024-02-14,2024-08-05,5% réduction + 1 échantillon/mois
C015,Bronze,350,150,2024-03-01,2024-08-20,2% réduction
C016,Bronze,85,85,2024-03-18,2024-10-22,2% réduction
C017,Bronze,216,216,2024-04-07,2024-11-03,2% réduction
C018,Bronze,65,65,2024-05-12,2024-11-18,2% réduction
