id_client,niveau,points_cumules,points_disponibles,date_adhesion,derniere_activite,avantages
K001,Or,1680,380,2023-02-10,2024-08-22,10% réduction permanente + livraison gratuite
K002,Argent,640,140,2023-03-15,2024-10-14,5% réduction + 1 échantillon/mois
K003,Bronze,350,150,2023-04-22,2024-07-19,2% réduction
K004,Platine,3450,850,2023-05-08,2024-10-28,15% réduction + livraison gratuite + conseil mensuel
K005,Bronze,290,90,2023-06-14,2024-10-25,2% réduction
K006,Platine,4100,1100,2023-07-01,2024-12-20,15% réduction + livraison gratuite + conseil mensuel
K007,Argent,480,180,2023-08-20,2024-07-19,5% réduction + 1 échantillon/mois
K008,Or,2100,400,2023-09-11,2024-11-12,10% réduction permanente + livraison gratuite
K009,Bronze,250,100,2023-10-05,2024-11-05,2% réduction
K010,Argent,550,150,2023-11-18,2024-12-10,5% réduction + 1 échantillon/mois
K011,Bronze,380,180,2023-12-07,2024-09-12,2% réduction
K012,Or,1540,340,2024-01-14,2024-11-27,10% réduction permanente + livraison gratuite
K013,Or,1760,560,2024-02-28,2024-11-27,10% réduction permanente + livraison gratuite
K014,Bronze,320,120,2024-03-10,2024-11-20,2% réduction
K015,Platine,2800,700,2024-04-05,2024-12-20,15% réduction + livraison gratuite + conseil mensuel
K016,Bronze,184,84,2024-05-19,2024-09-25,2% réduction
K017,Bronze,105,105,2024-06-08,2024-10-14,2% réduction
