id_vente;id_client;id_produit;date_achat;quantite;prix_total;canal_achat;mode_paiement
SV001;K001;SK-P001;08/01/2024;2;18 000;Boutique;Espèces
SV002;K001;SK-P007;08/01/2024;1;10 000;Boutique;Espèces
SV003;K002;SK-P003;25/01/2024;1;10 500;En ligne;Mobile Money
SV004;K003;SK-P009;10/02/2024;1;11 500;Boutique;Espèces
SV005;K004;SK-P011;18/02/2024;2;26 000;En ligne;Mobile Money
SV006;K004;SK-P016;18/02/2024;1;16 000;En ligne;Mobile Money
SV007;K005;SK-P012;05/03/2024;2;18 400;Boutique;Carte bancaire
SV008;K006;SK-P004;20/03/2024;1;14 000;En ligne;Mobile Money
SV009;K006;SK-P017;20/03/2024;1;28 000;En ligne;Mobile Money
SV010;K007;SK-P006;12/04/2024;1;13 500;Boutique;Espèces
SV011;K008;SK-P001;25/04/2024;3;27 000;En ligne;Mobile Money
SV012;K008;SK-P005;25/04/2024;2;17 000;En ligne;Mobile Money
SV013;K009;SK-P010;08/05/2024;1;8 200;Boutique;Espèces
SV014;K010;SK-P008;22/05/2024;2;15 000;En ligne;Carte bancaire
SV015;K011;SK-P003;05/06/2024;1;10 500;Boutique;Espèces
SV016;K012;SK-P011;18/06/2024;1;13 000;En ligne;Mobile Money
SV017;K012;SK-P016;18/06/2024;1;16 000;En ligne;Mobile Money
SV018;K013;SK-P004;03/07/2024;1;14 000;Boutique;Carte bancaire
SV019;K014;SK-P015;19/07/2024;2;16 000;Boutique;Espèces
SV020;K015;SK-P001;06/08/2024;2;18 000;En ligne;Mobile Money
SV021;K015;SK-P007;06/08/2024;1;10 000;En ligne;Mobile Money
SV022;K001;SK-P017;22/08/2024;1;28 000;En ligne;Mobile Money
SV023;K006;SK-P006;10/09/2024;1;13 500;Boutique;Carte bancaire
SV024;K016;SK-P012;25/09/2024;2;18 400;Boutique;Espèces
SV025;K017;SK-P003;14/10/2024;1;10 500;En ligne;Mobile Money
SV026;K004;SK-P011;28/10/2024;1;13 000;En ligne;Mobile Money
SV027;K008;SK-P017;12/11/2024;1;28 000;En ligne;Mobile Money
SV028;K013;SK-P009;27/11/2024;2;23 000;Boutique;Carte bancaire
SV029;K010;SK-P014;10/12/2024;1;11 000;Boutique;Espèces
SV030;K015;SK-P004;20/12/2024;1;14 000;En ligne;Mobile Money
