id_produit,nom_produit,stock_actuel,stock_min,stock_max,date_maj,fournisseur,prix_achat,delai_livraison_jours
P001,Shampoing hydratant aloe vera,42,20,150,2024-12-01,NaturHair Madagascar,4200,7
P002,Après-shampoing nourrissant coco,38,20,120,2024-12-01,NaturHair Madagascar,4500,7
P003,Shampoing micellaire purifiant,61,25,160,2024-12-01,CleanScalp Distrib,3800,5
P004,Masque purifiant argile verte,28,15,80,2024-12-01,CleanScalp Distrib,5800,5
P005,Shampoing fortifiant kératine,35,20,100,2024-12-01,KeraPro Import,5600,10
P006,Huile d'amla,44,20,120,2024-12-01,AyurHair Import,4800,10
P007,Lotion volume racines,31,15,90,2024-12-01,VolumePlus SA,3900,7
P008,Huile de ricin noire,39,20,110,2024-12-01,NaturHair Madagascar,5100,7
P009,Sérum anti-fourches,22,10,70,2024-12-01,KeraPro Import,6800,10
P010,Spray thermoprotecteur,33,15,85,2024-12-01,HeatGuard Euro,5300,14
P011,Baume démêlant sans rinçage,40,20,100,2024-12-01,NaturHair Madagascar,4600,7
P012,Shampoing antipelliculaire zinc,52,25,130,2024-12-01,CleanScalp Distrib,4300,5
P013,Masque hydratation profonde,27,10,80,2024-12-01,AquaHair Import,6600,12
P014,Gel coiffant fixation forte,68,30,160,2024-12-01,StylePro SA,3200,5
P015,Crème coiffante beurre de karité,36,15,110,2024-12-01,AfroCurl Distrib,4900,8
P016,Conditionneur protéiné,29,15,90,2024-12-01,KeraPro Import,5300,10
P017,Huile de jojoba pure,24,10,80,2024-12-01,NaturHair Madagascar,6100,7
P018,Mousse coiffante volume,41,20,110,2024-12-01,StylePro SA,3700,5
